, #    , Problem                                                                                                                                                         , Solution                                                                               
574, 624  , [Maximum Distance in Arrays](https://leetcode.com/problems/maximum-distance-in-arrays)                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/624.py)  
575, 625  , [Minimum Factorization](https://leetcode.com/problems/minimum-factorization)                                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/625.py)  
576, 628  , [Maximum Product of Three Numbers](https://leetcode.com/problems/maximum-product-of-three-numbers)                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/628.py)  
577, 629  , [K Inverse Pairs Array](https://leetcode.com/problems/k-inverse-pairs-array)                                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/629.py)  
578, 630  , [Course Schedule III](https://leetcode.com/problems/course-schedule-iii)                                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/630.py)  
579, 631  , [Design Excel Sum Formula](https://leetcode.com/problems/design-excel-sum-formula)                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/631.py)  
580, 632  , [Smallest Range Covering Elements from K Lists](https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists)                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/632.py)  
581, 633  , [Sum of Square Numbers](https://leetcode.com/problems/sum-of-square-numbers)                                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/633.py)  
582, 634  , [Find the Derangement of An Array](https://leetcode.com/problems/find-the-derangement-of-an-array)                                                              , [python](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python/634.py)    
583, 635  , [Design Log Storage System](https://leetcode.com/problems/design-log-storage-system)                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/635.py)  
584, 636  , [Exclusive Time of Functions](https://leetcode.com/problems/exclusive-time-of-functions)                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/636.py)  
585, 637  , [Average of Levels in Binary Tree](https://leetcode.com/problems/average-of-levels-in-binary-tree)                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/637.py)  
586, 638  , [Shopping Offers](https://leetcode.com/problems/shopping-offers)                                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/638.py)  
587, 639  , [Decode Ways II](https://leetcode.com/problems/decode-ways-ii)                                                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/639.py)  
588, 640  , [Solve the Equation](https://leetcode.com/problems/solve-the-equation)                                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/640.py)  
589, 641  , [Design Circular Deque](https://leetcode.com/problems/design-circular-deque)                                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/641.py)  
590, 642  , [Design Search Autocomplete System](https://leetcode.com/problems/design-search-autocomplete-system)                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/642.py)  
591, 643  , [Maximum Average Subarray I](https://leetcode.com/problems/maximum-average-subarray-i)                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/643.py)  
592, 644  , [Maximum Average Subarray II](https://leetcode.com/problems/maximum-average-subarray-ii)                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/644.py)  
593, 645  , [Set Mismatch](https://leetcode.com/problems/set-mismatch)                                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/645.py)  
594, 646  , [Maximum Length of Pair Chain](https://leetcode.com/problems/maximum-length-of-pair-chain)                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/646.py)  
595, 647  , [Palindromic Substrings](https://leetcode.com/problems/palindromic-substrings)                                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/647.py)  
596, 648  , [Replace Words](https://leetcode.com/problems/replace-words)                                                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/648.py)  
597, 649  , [Dota2 Senate](https://leetcode.com/problems/dota2-senate)                                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/649.py)  
598, 650  , [2 Keys Keyboard](https://leetcode.com/problems/2-keys-keyboard)                                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/650.py)  
599, 651  , [4 Keys Keyboard](https://leetcode.com/problems/4-keys-keyboard)                                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/651.py)  
600, 652  , [Find Duplicate Subtrees](https://leetcode.com/problems/find-duplicate-subtrees)                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/652.py)  
601, 653  , [Two Sum IV - Input is a BST](https://leetcode.com/problems/two-sum-iv-input-is-a-bst)                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/653.py)  
602, 654  , [Maximum Binary Tree](https://leetcode.com/problems/maximum-binary-tree)                                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/654.py)  
603, 655  , [Print Binary Tree](https://leetcode.com/problems/print-binary-tree)                                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/655.py)  
604, 656  , [Coin Path](https://leetcode.com/problems/coin-path)                                                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/656.py)  
605, 657  , [Robot Return to Origin](https://leetcode.com/problems/robot-return-to-origin)                                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/657.py)  
606, 658  , [Find K Closest Elements](https://leetcode.com/problems/find-k-closest-elements)                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/658.py)  
607, 659  , [Split Array into Consecutive Subsequences](https://leetcode.com/problems/split-array-into-consecutive-subsequences)                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/659.py)  
608, 660  , [Remove 9](https://leetcode.com/problems/remove-9)                                                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/660.py)  
609, 661  , [Image Smoother](https://leetcode.com/problems/image-smoother)                                                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/661.py)  
610, 662  , [Maximum Width of Binary Tree](https://leetcode.com/problems/maximum-width-of-binary-tree)                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/662.py)  
611, 663  , [Equal Tree Partition](https://leetcode.com/problems/equal-tree-partition)                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/663.py)  
612, 664  , [Strange Printer](https://leetcode.com/problems/strange-printer)                                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/664.py)  
613, 665  , [Non-decreasing Array](https://leetcode.com/problems/non-decreasing-array)                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/665.py)  
614, 666  , [Path Sum IV](https://leetcode.com/problems/path-sum-iv)                                                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/666.py)  
615, 667  , [Beautiful Arrangement II](https://leetcode.com/problems/beautiful-arrangement-ii)                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/667.py)  
616, 668  , [Kth Smallest Number in Multiplication Table](https://leetcode.com/problems/kth-smallest-number-in-multiplication-table)                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/668.py)  
617, 669  , [Trim a Binary Search Tree](https://leetcode.com/problems/trim-a-binary-search-tree)                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/669.py)  
618, 670  , [Maximum Swap](https://leetcode.com/problems/maximum-swap)                                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/670.py)  
619, 671  , [Second Minimum Node In a Binary Tree](https://leetcode.com/problems/second-minimum-node-in-a-binary-tree)                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/671.py)  
620, 672  , [Bulb Switcher II](https://leetcode.com/problems/bulb-switcher-ii)                                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/672.py)  
621, 673  , [Number of Longest Increasing Subsequence](https://leetcode.com/problems/number-of-longest-increasing-subsequence)                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/673.py)  
622, 674  , [Longest Continuous Increasing Subsequence](https://leetcode.com/problems/longest-continuous-increasing-subsequence)                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/674.py)  
623, 675  , [Cut Off Trees for Golf Event](https://leetcode.com/problems/cut-off-trees-for-golf-event)                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/675.py)  
624, 676  , [Implement Magic Dictionary](https://leetcode.com/problems/implement-magic-dictionary)                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/676.py)  
625, 677  , [Map Sum Pairs](https://leetcode.com/problems/map-sum-pairs)                                                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/677.py)  
626, 678  , [Valid Parenthesis String](https://leetcode.com/problems/valid-parenthesis-string)                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/678.py)  
627, 679  , [24 Game](https://leetcode.com/problems/24-game)                                                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/679.py)  
628, 680  , [Valid Palindrome II](https://leetcode.com/problems/valid-palindrome-ii)                                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/680.py)  
629, 681  , [Next Closest Time](https://leetcode.com/problems/next-closest-time)                                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/681.py)  
630, 682  , [Baseball Game](https://leetcode.com/problems/baseball-game)                                                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/682.py)  
631, 683  , [K Empty Slots](https://leetcode.com/problems/k-empty-slots)                                                                                                    , [python](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python/683.py)    
632, 684  , [Redundant Connection](https://leetcode.com/problems/redundant-connection)                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/684.py)  
633, 685  , [Redundant Connection II](https://leetcode.com/problems/redundant-connection-ii)                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/685.py)  
634, 686  , [Repeated String Match](https://leetcode.com/problems/repeated-string-match)                                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/686.py)  
635, 687  , [Longest Univalue Path](https://leetcode.com/problems/longest-univalue-path)                                                                                    , [python](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python/687.py)    
636, 688  , [Knight Probability in Chessboard](https://leetcode.com/problems/knight-probability-in-chessboard)                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/688.py)  
637, 689  , [Maximum Sum of 3 Non-Overlapping Subarrays](https://leetcode.com/problems/maximum-sum-of-3-non-overlapping-subarrays)                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/689.py)  
638, 690  , [Employee Importance](https://leetcode.com/problems/employee-importance)                                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/690.py)  
639, 691  , [Stickers to Spell Word](https://leetcode.com/problems/stickers-to-spell-word)                                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/691.py)  
640, 692  , [Top K Frequent Words](https://leetcode.com/problems/top-k-frequent-words)                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/692.py)  
641, 693  , [Binary Number with Alternating Bits](https://leetcode.com/problems/binary-number-with-alternating-bits)                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/693.py)  
642, 694  , [Number of Distinct Islands](https://leetcode.com/problems/number-of-distinct-islands)                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/694.py)  
643, 695  , [Max Area of Island](https://leetcode.com/problems/max-area-of-island)                                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/695.py)  
644, 696  , [Count Binary Substrings](https://leetcode.com/problems/count-binary-substrings)                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/696.py)  
645, 697  , [Degree of an Array](https://leetcode.com/problems/degree-of-an-array)                                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/697.py)  
646, 698  , [Partition to K Equal Sum Subsets](https://leetcode.com/problems/partition-to-k-equal-sum-subsets)                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/698.py)  
647, 699  , [Falling Squares](https://leetcode.com/problems/falling-squares)                                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/699.py)  
648, 700  , [Search in a Binary Search Tree](https://leetcode.com/problems/search-in-a-binary-search-tree)                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/700.py)  
649, 701  , [Insert into a Binary Search Tree](https://leetcode.com/problems/insert-into-a-binary-search-tree)                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/701.py)  
650, 702  , [Search in a Sorted Array of Unknown Size](https://leetcode.com/problems/search-in-a-sorted-array-of-unknown-size)                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/702.py)  
651, 703  , [Kth Largest Element in a Stream](https://leetcode.com/problems/kth-largest-element-in-a-stream)                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/703.py)  
652, 704  , [Binary Search](https://leetcode.com/problems/binary-search)                                                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/704.py)  
653, 705  , [Design HashSet](https://leetcode.com/problems/design-hashset)                                                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/705.py)  
654, 706  , [Design HashMap](https://leetcode.com/problems/design-hashmap)                                                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/706.py)  
655, 707  , [Design Linked List](https://leetcode.com/problems/design-linked-list)                                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/707.py)  
656, 708  , [Insert into a Cyclic Sorted List](https://leetcode.com/problems/insert-into-a-cyclic-sorted-list)                                                              , [python](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python/708.py)    
657, 709  , [To Lower Case](https://leetcode.com/problems/to-lower-case)                                                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/709.py)  
658, 710  , [Random Pick with Blacklist](https://leetcode.com/problems/random-pick-with-blacklist)                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/710.py)  
659, 711  , [Number of Distinct Islands II](https://leetcode.com/problems/number-of-distinct-islands-ii)                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/711.py)  
660, 712  , [Minimum ASCII Delete Sum for Two Strings](https://leetcode.com/problems/minimum-ascii-delete-sum-for-two-strings)                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/712.py)  
661, 713  , [Subarray Product Less Than K](https://leetcode.com/problems/subarray-product-less-than-k)                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/713.py)  
662, 714  , [Best Time to Buy and Sell Stock with Transaction Fee](https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee)                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/714.py)  
663, 715  , [Range Module](https://leetcode.com/problems/range-module)                                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/715.py)  
664, 716  , [Max Stack](https://leetcode.com/problems/max-stack)                                                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/716.py)  
665, 717  , [1-bit and 2-bit Characters](https://leetcode.com/problems/1-bit-and-2-bit-characters)                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/717.py)  
666, 718  , [Maximum Length of Repeated Subarray](https://leetcode.com/problems/maximum-length-of-repeated-subarray)                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/718.py)  
667, 719  , [Find K-th Smallest Pair Distance](https://leetcode.com/problems/find-k-th-smallest-pair-distance)                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/719.py)  
668, 720  , [Longest Word in Dictionary](https://leetcode.com/problems/longest-word-in-dictionary)                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/720.py)  
669, 721  , [Accounts Merge](https://leetcode.com/problems/accounts-merge)                                                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/721.py)  
670, 722  , [Remove Comments](https://leetcode.com/problems/remove-comments)                                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/722.py)  
671, 723  , [Candy Crush](https://leetcode.com/problems/candy-crush)                                                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/723.py)  
672, 724  , [Find Pivot Index](https://leetcode.com/problems/find-pivot-index)                                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/724.py)  
673, 725  , [Split Linked List in Parts](https://leetcode.com/problems/split-linked-list-in-parts)                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/725.py)  
674, 726  , [Number of Atoms](https://leetcode.com/problems/number-of-atoms)                                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/726.py)  
675, 727  , [Minimum Window Subsequence](https://leetcode.com/problems/minimum-window-subsequence)                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/727.py)  
676, 728  , [Self Dividing Numbers](https://leetcode.com/problems/self-dividing-numbers)                                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/728.py)  
677, 729  , [My Calendar I](https://leetcode.com/problems/my-calendar-i)                                                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/729.py)  
678, 730  , [Count Different Palindromic Subsequences](https://leetcode.com/problems/count-different-palindromic-subsequences)                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/730.py)  
679, 731  , [My Calendar II](https://leetcode.com/problems/my-calendar-ii)                                                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/731.py)  
680, 732  , [My Calendar III](https://leetcode.com/problems/my-calendar-iii)                                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/732.py)  
681, 733  , [Flood Fill](https://leetcode.com/problems/flood-fill)                                                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/733.py)  
682, 734  , [Sentence Similarity](https://leetcode.com/problems/sentence-similarity)                                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/734.py)  
683, 735  , [Asteroid Collision](https://leetcode.com/problems/asteroid-collision)                                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/735.py)  
684, 736  , [Parse Lisp Expression](https://leetcode.com/problems/parse-lisp-expression)                                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/736.py)  
685, 737  , [Sentence Similarity II](https://leetcode.com/problems/sentence-similarity-ii)                                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/737.py)  
686, 738  , [Monotone Increasing Digits](https://leetcode.com/problems/monotone-increasing-digits)                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/738.py)  
687, 739  , [Daily Temperatures](https://leetcode.com/problems/daily-temperatures)                                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/739.py)  
688, 740  , [Delete and Earn](https://leetcode.com/problems/delete-and-earn)                                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/740.py)  
689, 741  , [Cherry Pickup](https://leetcode.com/problems/cherry-pickup)                                                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/741.py)  
690, 742  , [Closest Leaf in a Binary Tree](https://leetcode.com/problems/closest-leaf-in-a-binary-tree)                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/742.py)  
691, 743  , [Network Delay Time](https://leetcode.com/problems/network-delay-time)                                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/743.py)  
692, 744  , [Find Smallest Letter Greater Than Target](https://leetcode.com/problems/find-smallest-letter-greater-than-target)                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/744.py)  
693, 745  , [Prefix and Suffix Search](https://leetcode.com/problems/prefix-and-suffix-search)                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/745.py)  
694, 746  , [Min Cost Climbing Stairs](https://leetcode.com/problems/min-cost-climbing-stairs)                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/746.py)  
695, 747  , [Largest Number At Least Twice of Others](https://leetcode.com/problems/largest-number-at-least-twice-of-others)                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/747.py)  
696, 748  , [Shortest Completing Word](https://leetcode.com/problems/shortest-completing-word)                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/748.py)  
697, 749  , [Contain Virus](https://leetcode.com/problems/contain-virus)                                                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/749.py)  
698, 750  , [Number Of Corner Rectangles](https://leetcode.com/problems/number-of-corner-rectangles)                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/750.py)  
699, 751  , [IP to CIDR](https://leetcode.com/problems/ip-to-cidr)                                                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/751.py)  
700, 752  , [Open the Lock](https://leetcode.com/problems/open-the-lock)                                                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/752.py)  
701, 753  , [Cracking the Safe](https://leetcode.com/problems/cracking-the-safe)                                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/753.py)  
702, 754  , [Reach a Number](https://leetcode.com/problems/reach-a-number)                                                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/754.py)  
703, 755  , [Pour Water](https://leetcode.com/problems/pour-water)                                                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/755.py)  
704, 756  , [Pyramid Transition Matrix](https://leetcode.com/problems/pyramid-transition-matrix)                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/756.py)  
705, 757  , [Set Intersection Size At Least Two](https://leetcode.com/problems/set-intersection-size-at-least-two)                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/757.py)  
706, 758  , [Bold Words in String](https://leetcode.com/problems/bold-words-in-string)                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/758.py)  
707, 759  , [Employee Free Time](https://leetcode.com/problems/employee-free-time)                                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/759.py)  
708, 760  , [Find Anagram Mappings](https://leetcode.com/problems/find-anagram-mappings)                                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/760.py)  
709, 761  , [Special Binary String](https://leetcode.com/problems/special-binary-string)                                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/761.py)  
710, 762  , [Prime Number of Set Bits in Binary Representation](https://leetcode.com/problems/prime-number-of-set-bits-in-binary-representation)                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/762.py)  
711, 763  , [Partition Labels](https://leetcode.com/problems/partition-labels)                                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/763.py)  
712, 764  , [Largest Plus Sign](https://leetcode.com/problems/largest-plus-sign)                                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/764.py)  
713, 765  , [Couples Holding Hands](https://leetcode.com/problems/couples-holding-hands)                                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/765.py)  
714, 766  , [Toeplitz Matrix](https://leetcode.com/problems/toeplitz-matrix)                                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/766.py)  
715, 767  , [Reorganize String](https://leetcode.com/problems/reorganize-string)                                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/767.py)  
716, 768  , [Max Chunks To Make Sorted II](https://leetcode.com/problems/max-chunks-to-make-sorted-ii)                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/768.py)  
717, 769  , [Max Chunks To Make Sorted](https://leetcode.com/problems/max-chunks-to-make-sorted)                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/769.py)  
718, 770  , [Basic Calculator IV](https://leetcode.com/problems/basic-calculator-iv)                                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/770.py)  
719, 771  , [Jewels and Stones](https://leetcode.com/problems/jewels-and-stones)                                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/771.py)  
720, 772  , [Basic Calculator III](https://leetcode.com/problems/basic-calculator-iii)                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/772.py)  
721, 773  , [Sliding Puzzle](https://leetcode.com/problems/sliding-puzzle)                                                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/773.py)  
722, 774  , [Minimize Max Distance to Gas Station](https://leetcode.com/problems/minimize-max-distance-to-gas-station)                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/774.py)  
723, 775  , [Global and Local Inversions](https://leetcode.com/problems/global-and-local-inversions)                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/775.py)  
724, 776  , [Split BST](https://leetcode.com/problems/split-bst)                                                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/776.py)  
725, 777  , [Swap Adjacent in LR String](https://leetcode.com/problems/swap-adjacent-in-lr-string)                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/777.py)  
726, 778  , [Swim in Rising Water](https://leetcode.com/problems/swim-in-rising-water)                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/778.py)  
727, 779  , [K-th Symbol in Grammar](https://leetcode.com/problems/k-th-symbol-in-grammar)                                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/779.py)  
728, 780  , [Reaching Points](https://leetcode.com/problems/reaching-points)                                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/780.py)  
